# Export texte de la base — tables par modèle
Généré: 2025-08-14 17:22:02
Fichier source: /Users/HouDa/PycharmProjects/ParcInfo/export_all_tables.json

## Résumé
• Modèles: 20
• Enregistrements: 2089
• Répartition par modèle:
  - auth.group: 4
  - chatbot.chatbotinteraction: 1470
  - chatbot.chatmessage: 14
  - chatbot.documentvector: 307
  - chatbot.intentexample: 3
  - commande_bureau.commandebureau: 1
  - commande_bureau.descriptionbureau: 96
  - commande_bureau.designationbureau: 26
  - commande_bureau.lignecommandebureau: 1
  - commande_informatique.commande: 2
  - commande_informatique.description: 64
  - commande_informatique.designation: 28
  - commande_informatique.lignecommande: 3
  - demande_equipement.archivedecharge: 5
  - demande_equipement.demandeequipement: 10
  - fournisseurs.fournisseur: 42
  - livraison.livraison: 3
  - materiel_bureautique.materielbureau: 1
  - materiel_informatique.materielinformatique: 5
  - users.customuser: 4

## Détails par modèle

Model: auth.group  (rows: 4)
|--|-------------------------|------------------------------------------------------------|
|pk|name                     |permissions                                                 |
|--|-------------------------|------------------------------------------------------------|
|1 |Super Admin              |[1, 2, 3, 4, 9, 10, 11, 12, 5, 6, 7, 8, 53, 54, 55, 56, 57,…|
|2 |Gestionnaire Informatique|[]                                                          |
|3 |Gestionnaire Bureau      |[]                                                          |
|4 |Employe                  |[]                                                          |
|--|-------------------------|------------------------------------------------------------|

Model: chatbot.chatbotinteraction  (rows: 1470)
|----|--------------------------|------------------------------------------------------------|-----------|---------------------|-------------|-----------|------------------------|------------------------------------------------------------|
|9   |null                      |📋 **Modèles Django disponibles:**\n• **Fournisseur** (nom, …|0          |default              |False        |0          |2025-08-07T18:11:16.203Z|Commandes récentes                                          |
|10  |null                      |📋 **Modèles Django disponibles:**\n• **Fournisseur** (nom, …|0          |default              |False        |0          |2025-08-07T18:11:26.152Z|code inventaire de baie                                     |
|11  |null                      |🖨 **Commandes bureau (via modèle Django):**\n\n• **bc3**\n …|0          |default              |False        |0          |2025-08-07T18:11:42.946Z|liste des commandes bureau                                  |
|12  |null                      |🚚 **Livraisons (via modèle Django):**\n\n• **Commande AOO20…|0          |default              |False        |0          |2025-08-07T18:12:01.260Z|livraisond                                                  |
|13  |null                      |📋 **Modèles Django disponibles:**\n• **Fournisseur** (nom, …|0          |default              |False        |0          |2025-08-07T18:12:14.408Z|liste matereil bureau                                       |
|14  |null                      |🖥 **Matériel bureau (via modèle Django):**\n\n• **ADD/INFO/…|0          |default              |False        |0          |2025-08-07T18:12:26.949Z|liste matériel bureautique                                  |
|15  |null                      |🚚 **Livraisons (via modèle Django):**\n\n• **Commande AOO20…|0          |default              |False        |0          |2025-08-07T18:21:39.674Z|Livraisons à venir                                          |
|16  |null                      |👥 **Utilisateurs (via modèle Django):**\n\n• **employe anon…|0          |default              |False        |0          |2025-08-07T18:21:50.944Z|👥 Utilisateurs                                              |
|17  |null                      |📊 **Statistiques (via modèles Django):**\n• **Fournisseurs:…|0          |default              |False        |0          |2025-08-07T18:21:58.653Z|📊 Statistiques complètes                                    |
|18  |null                      |❌ Aucun matériel trouvé avec le code: 🔍  [code]             |0          |default              |False        |0          |2025-08-07T18:22:06.406Z|🔍 Code inventaire [code]                                    |
|19  |null                      |❌ Aucun matériel trouvé avec le code: de armoire            |0          |default              |False        |0          |2025-08-07T18:22:19.083Z|code inventaire de armoire                                  |
|20  |null                      |❌ Aucun matériel trouvé avec le code: de call server        |0          |default              |False        |0          |2025-08-07T18:22:37.838Z|Code inventaire de call server                              |
|21  |null                      |📋 **Modèles Django disponibles:**\n• **Fournisseur** (nom, …|0          |default              |False        |0          |2025-08-07T18:22:47.033Z|🖥 Matériel bureau                                           |
|22  |null                      |📦 **Commandes informatique (via modèle Django):**\n\n• **BC…|0          |default              |False        |0          |2025-08-07T18:22:58.465Z|📦 Commandes informatique                                    |
|23  |null                      |🖨 **Commandes bureau (via modèle Django):**\n\n• **bc3**\n …|0          |default              |False        |0          |2025-08-07T18:23:03.496Z|🖨 Commandes bureau                                          |
|24  |null                      |📋 **Modèles Django disponibles:**\n• **Fournisseur** (nom, …|0          |default              |False        |0          |2025-08-07T18:24:09.628Z|Commandes récentes                                          |
|25  |null                      |👥 **Utilisateurs (via modèle Django):**\n\n• **employe anon…|0          |default              |False        |0          |2025-08-07T18:24:15.034Z|👥 Utilisateurs                                              |
|26  |null                      |📋 **Modèles Django disponibles:**\n• **Fournisseur** (nom, …|0          |default              |False        |0          |2025-08-07T18:24:34.864Z|a qui affecter le matereil informatique baie                |
|27  |null                      |❌ Aucun matériel trouvé. Essayez avec un code inventaire co…|0          |default              |False        |0          |2025-08-07T18:31:25.773Z|code inventaire de armoire                                  |
|28  |null                      |❌ Aucun matériel trouvé. Essayez avec un code inventaire co…|0          |default              |False        |0          |2025-08-07T18:31:34.720Z|code inventaire de baie                                     |
|29  |null                      |🤖 Je n'ai pas compris exactement votre question "Livraisons…|0          |default              |False        |0          |2025-08-07T18:33:02.818Z|Livraisons à venir                                          |
|30  |null                      |👥 **Utilisateurs disponibles pour l'affectation:**\n\n• **e…|0          |default              |False        |0          |2025-08-07T18:33:17.696Z|À qui affecter le matériel informatique baie                |
|31  |null                      |❌ Aucun matériel trouvé. Essayez avec un code inventaire co…|0          |default              |False        |0          |2025-08-07T18:33:30.272Z|code inventaire de baie                                     |
|32  |null                      |❌ Aucun matériel trouvé. Essayez avec un code inventaire co…|0          |default              |False        |0          |2025-08-07T18:33:42.705Z|code inventaire de armoire                                  |
|33  |null                      |👥 **Utilisateurs disponibles pour l'affectation:**\n\n• **e…|0          |default              |False        |0          |2025-08-07T18:33:46.065Z|🎯 À qui affecter la baie?                                   |
|34  |null                      |❌ Aucun matériel trouvé. Essayez avec un code inventaire co…|0          |default              |False        |0          |2025-08-07T18:33:53.997Z|🔍 Chercher un code inventaire                               |
|35  |null                      |🤖 Je n'ai pas compris exactement votre question "liste des …|0          |default              |False        |0          |2025-08-07T18:34:05.954Z|liste des materile informatique                             |
|36  |null                      |🤖 Je n'ai pas compris exactement votre question "liste des …|0          |default              |False        |0          |2025-08-07T18:34:17.171Z|liste des materil bureau                                    |
|37  |null                      |🤖 Je n'ai pas compris exactement votre question "liste des …|0          |default              |False        |0          |2025-08-07T18:34:27.108Z|liste des commandes bureatique                              |
|38  |null                      |🤖 Je n'ai pas compris exactement votre question "liste des …|0          |default              |False        |0          |2025-08-07T18:34:38.079Z|liste des commande informatiques                            |
|39  |null                      |🚚 **Livraisons:**\n\n• Commande AOO2025 - 2025-08-14 - ✅ Li…|0          |default              |False        |0          |2025-08-07T18:53:02.223Z|Livraisons à venir                                          |
|40  |null                      |📦 **Matériel complet du parc:**\n\n\n💻 **Informatique:**\n•…|0          |default              |False        |0          |2025-08-07T18:53:06.967Z|Matériel en service                                         |
|41  |null                      |🏢 **Liste des fournisseurs:**\n                             |0          |default              |False        |0          |2025-08-07T18:53:12.793Z|Liste des fournisseurs                                      |
|42  |null                      |🏢 **Liste des fournisseurs:**\n                             |0          |default              |False        |0          |2025-08-07T18:53:24.449Z|🏢 Liste complète des fournisseurs                           |
|43  |null                      |🔍 Précisez votre recherche avec un code ou type de matériel |0          |default              |False        |0          |2025-08-07T18:53:40.100Z|code inventaire de baie                                     |
|44  |null                      |🤖 **Assistant ParcInfo - Aide rapide**\n\n**Commandes princ…|0          |default              |False        |0          |2025-08-07T19:10:47.799Z|numero de serie de call server                              |
|45  |null                      |📋 **Toutes les commandes:**\n\n\n💻 **Informatique:**\n• BC2…|0          |default              |False        |0          |2025-08-07T19:11:06.207Z|Commandes en attente                                        |
|46  |null                      |🚚 **Livraisons:**\n\n• Commande AOO2025 - 2025-08-14 - ✅ Li…|0          |default              |False        |0          |2025-08-07T19:11:17.609Z|liste des livraisons                                        |
|47  |null                      |📦 **Matériel complet du parc:**\n\n\n💻 **Informatique:**\n•…|0          |default              |False        |0          |2025-08-07T19:11:29.293Z|liste des materels informatiques                            |
|48  |null                      |📦 **Matériel complet du parc:**\n\n\n💻 **Informatique:**\n•…|0          |default              |False        |0          |2025-08-07T19:11:51.292Z|liste matereil buresu                                       |
|49  |null                      |👥 **Utilisateurs du système:**\n\n• **employe anonyme** (👤 …|0          |default              |False        |0          |2025-08-07T19:12:01.305Z|liste des utilisateurs                                      |
|50  |null                      |🤖 **Assistant ParcInfo - Aide rapide**\n\n**Commandes princ…|0          |default              |False        |0          |2025-08-07T19:12:27.721Z|qui est le superadmin                                       |
|51  |null                      |📦 **Matériel complet du parc:**\n\n\n💻 **Informatique:**\n•…|0          |default              |False        |0          |2025-08-07T19:12:44.447Z|où est le matériel BAIE                                     |
|52  |null                      |📋 **Demandes d'équipement:**\n\n• #23 - superadmin - inform…|0          |default              |False        |0          |2025-08-07T19:13:19.128Z|lise des demandes                                           |
|53  |null                      |🤖 **Assistant ParcInfo - Aide rapide**\n\n**Commandes princ…|0          |default              |False        |0          |2025-08-07T19:13:42.171Z|❓ Posez-moi une question naturelle                          |
|54  |null                      |🤖 **Assistant ParcInfo - Aide rapide**\n\n**Commandes princ…|0          |default              |False        |0          |2025-08-07T19:13:43.885Z|❓ Posez-moi une question naturelle                          |
|55  |null                      |🤖 **Assistant ParcInfo - Aide rapide**\n\n**Commandes princ…|0          |default              |False        |0          |2025-08-07T19:13:44.779Z|❓ Posez-moi une question naturelle                          |
|56  |null                      |📦 **Matériel complet du parc:**\n\n\n💻 **Informatique:**\n•…|0          |default              |False        |0          |2025-08-07T19:17:20.900Z|Matériel en service                                         |
|57  |null                      |📋 **Toutes les commandes:**\n\n\n💻 **Informatique:**\n• BC2…|0          |default              |False        |0          |2025-08-07T19:17:26.955Z|📦 Voir toutes les commandes                                 |
|58  |null                      |🖨️ **Commandes Bureau:**\n\n• bc3 - test4 - 2025-07-29\n• A…|0          |default              |False        |0          |2025-08-07T19:17:32.578Z|🖨️ Commandes bureau                                         |
|59  |null                      |📊 **Tableau de bord complet du parc informatique:**\n\n🖥️ *…|0          |default              |False        |0          |2025-08-07T19:17:36.774Z|📊 Statistiques complètes                                    |
|60  |null                      |📦 **Commandes:**\n\n💻 BC23 - test - 2025-07-04\n💻 123 - 3ST…|0          |default              |False        |0          |2025-08-07T22:11:10.540Z|Commandes récentes                                          |
|61  |null                      |🚚 **Livraisons:**\n\n• AOO2025 - 2025-08-14 - ✅ Livrée\n• B…|0          |default              |False        |0          |2025-08-07T22:11:12.072Z|Livraisons à venir                                          |
|62  |null                      |👥 **Utilisateurs:**\n\n• employe anonyme (👤 Employé) - 1 in…|0          |default              |False        |0          |2025-08-07T22:11:39.433Z|👥 Utilisateurs et affectations                              |
|63  |null                      |📦 **Commandes:**\n\n💻 BC23 - test - 2025-07-04\n💻 123 - 3ST…|0          |default              |False        |0          |2025-08-07T22:11:44.244Z|📦 Voir toutes les commandes                                 |
|64  |null                      |📦 **Matériel complet du parc:**\n\n💻 ADD/INFO/010 - nouveau…|0          |default              |False        |0          |2025-08-07T22:11:53.180Z|🏢 Liste des fournisseurs                                    |
|65  |null                      |📦 **Matériel complet du parc:**\n\n💻 ADD/INFO/010 - nouveau…|0          |default              |False        |0          |2025-08-07T22:11:56.680Z|🏢 Liste complète des fournisseurs                           |
|66  |null                      |📦 **Matériel complet du parc:**\n\n💻 ADD/INFO/010 - nouveau…|0          |default              |False        |0          |2025-08-07T22:12:07.851Z|liste des fournisseurs                                      |
|67  |null                      |📦 **Matériel complet du parc:**\n\n💻 ADD/INFO/010 - nouveau…|0          |default              |False        |0          |2025-08-07T22:12:44.695Z|Liste des fournisseurs                                      |
|68  |null                      |❌ Aucun matériel trouvé avec : CODE                         |0          |default              |False        |0          |2025-08-07T22:15:20.997Z|code inventaire de armoire                                  |
|69  |null                      |🤖 **Assistant ParcInfo - Aide rapide**\n\n**Commandes princ…|0          |default              |False        |0          |2025-08-07T22:15:47.760Z|numero de serie de armoire                                  |
|70  |null                      |🤖 **Assistant ParcInfo - Aide rapide**\n\n**Commandes princ…|0          |default              |False        |0          |2025-08-07T22:15:59.846Z|numero de serie de baie                                     |
|71  |null                      |❌ Aucun matériel trouvé avec : BAIE                         |0          |default              |False        |0          |2025-08-07T22:19:37.874Z|code inventaire de  matereil informatique baie              |
|72  |null                      |🏢 **Fournisseurs:**\n\n• 218 LABS SARL - 218 RDC GROUPE AL …|0          |default              |False        |0          |2025-08-07T22:19:43.772Z|Liste des fournisseurs                                      |
|73  |null                      |❌ Aucun matériel trouvé avec : BAIE                         |0          |default              |False        |0          |2025-08-07T22:20:50.459Z|donner le code inventaire de matereil informatique baie     |
|74  |null                      |🤖 **Assistant ParcInfo - Aide rapide**\n\n**Commandes princ…|0          |default              |False        |0          |2025-08-07T22:21:40.885Z|doner la listes des matereils informatiques                 |
|75  |null                      |📦 **Matériel complet du parc:**\n\n💻 ADD/INFO/010 - nouveau…|0          |default              |False        |0          |2025-08-07T22:22:48.838Z|Matériel en service                                         |
|76  |null                      |🚚 **Livraisons:**\n\n• AOO2025 - 2025-08-14 - ✅ Livrée\n• B…|0          |default              |False        |0          |2025-08-07T22:22:57.986Z|🚚 Suivi des livraisons                                      |
|77  |null                      |🏢 **Fournisseurs:**\n\n• 218 LABS SARL - 218 RDC GROUPE AL …|0          |default              |False        |0          |2025-08-07T22:23:01.647Z|🏢 Liste des fournisseurs                                    |
|78  |null                      |🏢 **Fournisseurs:**\n\n• 218 LABS SARL - 218 RDC GROUPE AL …|0          |default              |False        |0          |2025-08-07T22:23:04.101Z|🏢 Liste complète des fournisseurs                           |
|79  |null                      |🏢 **Fournisseurs:**\n\n• 218 LABS SARL - 218 RDC GROUPE AL …|0          |default              |False        |0          |2025-08-07T22:23:08.309Z|🏢 Liste complète des fournisseurs                           |
|80  |null                      |📦 **Commandes:**\n\n💻 BC23 - test - 2025-07-04\n💻 123 - 3ST…|0          |default              |False        |0          |2025-08-07T22:23:13.451Z|Commandes récentes                                          |
|81  |null                      |📊 **Tableau de bord complet du parc informatique :**\n\n🖥️ …|0          |default              |False        |0          |2025-08-07T22:23:18.810Z|📊 Statistiques complètes                                    |
|82  |null                      |📊 **Tableau de bord complet du parc informatique :**\n\n🖥️ …|0          |default              |False        |0          |2025-08-07T22:23:46.693Z|📈 Chiffres clés                                             |
|83  |null                      |👥 **Utilisateurs:**\n\n• employe anonyme (👤 Employé) - 1 in…|0          |default              |False        |0          |2025-08-07T22:23:53.380Z|👥 Utilisateurs et affectations                              |
|84  |null                      |❌ Aucun matériel trouvé avec : RECHERCHER                   |0          |default              |False        |0          |2025-08-07T22:23:59.929Z|🔍 Rechercher par code inventaire                            |
|85  |null                      |❌ Aucun matériel trouvé avec : BAIE                         |0          |default              |False        |0          |2025-08-07T22:25:50.516Z|donner le code inventaire de matereil informatique de baie  |
|86  |null                      |❌ Aucun matériel trouvé avec : DONNER                       |0          |default              |False        |0          |2025-08-07T22:26:05.157Z|donner le  numero de serie de matereil informatique call se…|
|87  |null                      |❌ Aucun matériel trouvé pour le type: baie                  |0          |default              |False        |0          |2025-08-07T22:32:32.293Z|donner le code inventaire de matereil informatiue baie      |
|88  |null                      |❌ Aucun matériel trouvé pour le type: baie                  |0          |default              |False        |0          |2025-08-07T22:33:38.014Z|donner le code inventaire de matereil informatiue  de desig…|
|89  |null                      |🏢 **Fournisseurs**\n- WANA CORPORATE SA | 20270 CASABLANCA,…|0          |default              |False        |0          |2025-08-07T23:08:25.840Z|liste des fournisseurs                                      |
|90  |null                      |❌ Code non trouvé. Exemple : INFO123                        |0          |default              |False        |0          |2025-08-07T23:08:40.827Z|donner le code inventaire de baie                           |
|91  |null                      |**Aide rapide**\n- Liste du matériel\n- Commandes\n- Fourni…|0          |default              |False        |0          |2025-08-07T23:09:10.647Z|donner la liste des matereils informatiques                 |
|92  |null                      |📦 **Matériel informatique**\n- ADD/INFO/010 | nouveau | —\n…|0          |default              |False        |0          |2025-08-07T23:09:18.215Z|📋 Liste complète du matériel                                |
|93  |null                      |📦 **Matériel informatique**\n- ADD/INFO/010 | nouveau | —\n…|0          |default              |False        |0          |2025-08-07T23:09:29.551Z|liste Matériel informatique                                 |
|94  |null                      |📦 **Matériel informatique**\n- ADD/INFO/010 | nouveau | —\n…|0          |default              |False        |0          |2025-08-07T23:09:38.938Z|liste Matériel bureau                                       |
|95  |null                      |❌ Code non trouvé. Exemple : INFO123                        |0          |default              |False        |0          |2025-08-07T23:09:54.199Z|numero de serie de Matériel informatique baie               |
|96  |null                      |📦 **Dernières commandes**\n- BC23 | test | 2025-07-04\n- 12…|0          |default              |False        |0          |2025-08-07T23:10:02.915Z|liste des commande bureau                                   |
|97  |null                      |📦 **Dernières commandes**\n- BC23 | test | 2025-07-04\n- 12…|0          |default              |False        |0          |2025-08-07T23:10:10.992Z|liste des commande informatiques                            |
|98  |null                      |🔍 **cd12**\n- Statut : affecte\n- Local : etage1\n- Utilisa…|0          |default              |False        |0          |2025-08-07T23:54:16.698Z|donner le code inventaire de baie                           |
|99  |null                      |❌ Aucun matériel trouvé avec ces critères.                  |0          |default              |False        |0          |2025-08-07T23:54:29.945Z|donner le code inventaire de call server                    |
|100 |null                      |❌ Aucun matériel trouvé avec ces critères.                  |0          |default              |False        |0          |2025-08-07T23:54:52.003Z|donne numero de serie de call server                        |
|101 |null                      |❌ Aucun matériel trouvé avec ces critères.                  |0          |default              |False        |0          |2025-08-07T23:55:21.288Z|donner le code inventaire de OmniPCX Entreprise Large       |
|102 |null                      |**Aide rapide**\n- Liste du matériel\n- Commandes\n- Fourni…|0          |default              |False        |0          |2025-08-07T23:56:22.281Z|liste des designation bureau                                |
|103 |null                      |**Aide rapide**\n- Liste du matériel\n- Commandes\n- Fourni…|0          |default              |False        |0          |2025-08-07T23:56:32.294Z|liste des descption bureau                                  |
|104 |null                      |**Aide rapide**\n- Liste du matériel\n- Commandes\n- Fourni…|0          |default              |False        |0          |2025-08-07T23:56:43.194Z|liste des designation informatique                          |
|105 |null                      |📦 **Dernières commandes**\n- BC23 | test | 2025-07-04 | Inf…|0          |default              |False        |0          |2025-08-08T00:00:40.806Z|donner la liste des commandes informatiques                 |
|106 |null                      |❌ Une erreur s'est produite : Cannot resolve keyword 'desig…|0          |default              |False        |0          |2025-08-08T00:00:54.919Z|donenr la liste ds comamnde bureau                          |
|107 |null                      |❌ Une erreur s'est produite : 'Fournisseur' object has no a…|0          |default              |False        |0          |2025-08-08T00:01:09.371Z|donenr la loste des fournisseurs                            |
|108 |null                      |📦 **Matériel informatique**\n- ADD/INFO/010 | nouveau | — |…|0          |default              |False        |0          |2025-08-08T00:02:54.217Z|liste des fournisserus                                      |
|109 |null                      |❌ Une erreur s'est produite : 'Fournisseur' object has no a…|0          |default              |False        |0          |2025-08-08T00:03:00.875Z|🏢 Liste des fournisseurs                                    |
|110 |null                      |🏢 **Fournisseurs**\n- WANA CORPORATE SA | 20270 CASABLANCA,…|0          |default              |False        |0          |2025-08-08T00:04:21.109Z|Liste des fournisseurs                                      |
|111 |null                      |🏢 **Fournisseurs**\n• 218 LABS SARL - 218 RDC GROUPE AL MAJ…|0          |default              |False        |0          |2025-08-08T00:28:04.102Z|liste des fournisseurs                                      |
|112 |null                      |📦 **Matériel complet du parc**\n💻 **Matériel Informatique**…|0          |default              |False        |0          |2025-08-08T00:28:38.464Z|📋 Liste complète du matériel                                |
|113 |null                      |📦 **Commandes**\n• BC23 (Informatique) - test - 2025-07-04\…|0          |default              |False        |0          |2025-08-08T00:28:44.344Z|📦 Voir toutes les commandes                                 |
|114 |null                      |📦 **Commandes**\n• BC23 (Informatique) - test - 2025-07-04\…|0          |default              |False        |0          |2025-08-08T00:29:02.805Z|liste commande informatique                                 |
|115 |null                      |🔍 Précisez un code inventaire (ex. 'INFO123') ou un type (e…|0          |default              |False        |0          |2025-08-08T00:31:06.898Z|donner le code inventaire de bie                            |
|116 |null                      |📦 **Matériel complet du parc**\n💻 **Matériel Informatique**…|0          |default              |False        |0          |2025-08-08T00:31:57.740Z|📋 Liste complète du matériel                                |
|117 |null                      |📦 **Commandes**\n• BC23 (Informatique) - test - 2025-07-04\…|0          |default              |False        |0          |2025-08-08T00:32:00.371Z|📦 Voir toutes les commandes                                 |
|118 |null                      |🚚 **Livraisons**\n• AOO2025 - 2025-08-14 - ✅ Livrée\n• BC23…|0          |default              |False        |0          |2025-08-08T00:32:02.853Z|🚚 Suivi des livraisons                                      |
|119 |null                      |🏢 **Fournisseurs**\n• 218 LABS SARL - 218 RDC GROUPE AL MAJ…|0          |default              |False        |0          |2025-08-08T00:32:04.424Z|🏢 Liste des fournisseurs                                    |
|120 |null                      |👥 **Utilisateurs**\n• employe anonyme (👤 Employé) - 1 info …|0          |default              |False        |0          |2025-08-08T00:32:06.343Z|👥 Utilisateurs et affectations                              |
|121 |null                      |📊 **Tableau de bord complet**\n\n🖥️ **Matériel**\n   • Info…|0          |default              |False        |0          |2025-08-08T00:32:08.928Z|📊 Statistiques complètes                                    |
|122 |null                      |📦 **Matériel de type SRV**\n• Aucun matériel informatique t…|0          |default              |False        |0          |2025-08-08T00:33:34.352Z|donner le code inventaire de call server                    |
|123 |null                      |📦 **Matériel de type BAIE**\n• Aucun matériel informatique …|0          |default              |False        |0          |2025-08-08T00:34:02.581Z|donner le code inventaire de baie                           |
|124 |null                      |📦 **Matériel de type SRV**\n• Aucun matériel informatique t…|0          |default              |False        |0          |2025-08-08T00:43:36.427Z|donner le code inventaire de call server                    |
|125 |null                      |🔍 Précisez un code inventaire (ex. 'INFO123') ou un type (e…|0          |default              |False        |0          |2025-08-08T00:43:52.650Z|donner le code inventaire de Call Serve                     |
|126 |null                      |🏢 **Fournisseurs**\n• 218 LABS SARL - 218 RDC GROUPE AL MAJ…|0          |default              |False        |0          |2025-08-08T00:44:07.684Z|🏢 Liste des fournisseurs                                    |
|127 |null                      |🚚 **Livraisons**\n• AOO2025 - 2025-08-14 - ✅ Livrée\n• BC23…|0          |default              |False        |0          |2025-08-08T00:44:11.525Z|🚚 Suivi des livraisons                                      |
|128 |null                      |📊 **Tableau de bord complet**\n\n🖥️ **Matériel**\n   • Info…|0          |default              |False        |0          |2025-08-08T00:44:13.614Z|📊 Statistiques complètes                                    |
|129 |null                      |👥 **Utilisateurs**\n• employe anonyme (👤 Employé) - 1 info …|0          |default              |False        |0          |2025-08-08T00:44:16.404Z|👥 Utilisateurs et affectations                              |
|130 |null                      |📦 **Matériel complet du parc**\n💻 **Matériel Informatique**…|0          |default              |False        |0          |2025-08-08T00:44:18.635Z|📋 Liste complète du matériel                                |
|131 |null                      |📦 **Commandes**\n• BC23 (Informatique) - test - 2025-07-04\…|0          |default              |False        |0          |2025-08-08T00:44:23.658Z|📦 Voir toutes les commandes                                 |
|132 |null                      |📦 **Matériel de type SRV**\n• Aucun matériel informatique t…|0          |default              |False        |0          |2025-08-08T00:51:00.137Z|donner le code inventaire de call server                    |
|133 |null                      |📦 **Matériel de type BAIE**\n💻 **Matériel Informatique**\n•…|0          |default              |False        |0          |2025-08-08T00:51:08.976Z|donner le code inventaire de baie                           |
|134 |null                      |🤖 **Assistant ParcInfo - Aide rapide**\n\n**Commandes princ…|0          |default              |False        |0          |2025-08-08T15:01:26.333Z|Montre-moi la liste des équipements disponibles.            |
|135 |null                      |🏢 **Fournisseurs**\n• 218 LABS SARL - 218 RDC GROUPE AL MAJ…|0          |default              |False        |0          |2025-08-08T15:01:31.045Z|Peux-tu me donner la liste des fournisseurs disponibles ?   |
|136 |null                      |💻 **cd12**\n   • Type : Informatique\n   • Statut : affecte…|0          |default              |False        |0          |2025-08-08T15:01:40.755Z|À qui appartient le matériel avec le code inventaire cd12 ? |
|137 |null                      |💻 **cd12**\n   • Type : Informatique\n   • Statut : affecte…|0          |default              |False        |0          |2025-08-08T15:02:20.713Z|À qui appartient le matériel avec le code inventaire cd12 ? |
|138 |null                      |🤖 **Assistant ParcInfo - Aide rapide**\n\n**Commandes princ…|0          |default              |False        |0          |2025-08-08T15:02:29.978Z|Montre-moi la liste des équipements disponibles.            |
|139 |null                      |🏢 **Fournisseurs**\n• 218 LABS SARL - 218 RDC GROUPE AL MAJ…|0          |default              |False        |0          |2025-08-08T15:03:22.278Z|Donne moi les fournisseures                                 |
|140 |null                      |📦 **Matériel complet du parc**\n💻 **Matériel Informatique**…|0          |default              |False        |0          |2025-08-08T15:03:53.926Z|on a koi comme matereil ds letage 1 ?                       |
|141 |null                      |👥 **Utilisateurs**\n• employe anonyme (👤 Employé) - 1 info …|0          |default              |False        |0          |2025-08-08T15:04:19.142Z|J’aimerais connaître les utilisateurs et les codes des équi…|
